Name en-US,Name zh-CN,Alias en-US,Alias zh-CN,Group en-US,Group zh-CN,Subgroup en-US,Subgroup zh-CN,Video FX,Transition FX,Media Generator FX,Composite Mode FX,UID
Ignite Heat Distortion,Ignite 高温扭曲,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.HeatDistortion}
Ignite Highpass Sharpen,Ignite 高通锐化,,,Ignite Pro,Ignite Pro,Ignite - Sharpen,Ignite - 锐化,√,,,,{Svfx:com.FXHOME.HitFilm.HighpassSharpen}
Ignite Hotspots,Ignite 热点/明亮区域,,,Ignite Pro,Ignite Pro,Ignite - Color Correction,Ignite - 颜色校正,√,,,,{Svfx:com.FXHOME.HitFilm.Hotspots}
Ignite Hue & RGB Key,Ignite 色相和RGB键,,,Ignite Pro,Ignite Pro,Ignite - Keying,Ignite - 键控,√,,,,{Svfx:com.FXHOME.HitFilm.HueKey}
Ignite Hue Colorize,Ignite 色相着色,,,Ignite Pro,Ignite Pro,Ignite - Color Grading,Ignite - 颜色分级,√,,,,{Svfx:com.FXHOME.HitFilm.HueColorize}
Ignite Hue Shift,Ignite 色相偏移,,,Ignite Pro,Ignite Pro,Ignite - Color Grading,Ignite - 颜色分级,√,,,,{Svfx:com.FXHOME.HitFilm.HueShift}
Ignite Hyperdrive,Ignite 光速飞行器,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.Hyperdrive}
Ignite Inner Glow,Ignite 内发光/暗角/晕影,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.InnerGlow}
Ignite Insect Vision,Ignite 昆虫视觉,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.InsectVision}
Ignite Invert Alpha,Ignite 反转Alpha,,,Ignite Pro,Ignite Pro,Ignite - Keying - Matte Enhancement,Ignite - 键控 - 蒙版增强,√,,,,{Svfx:com.FXHOME.HitFilm.InvertAlpha}
Ignite Jitter,Ignite 帧跳动/跳帧,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.Jitter}
Ignite Leave Color,Ignite 保留颜色/分离颜色,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.LeaveColor}
Ignite Lens Blur,Ignite 镜头模糊,,,Ignite Pro,Ignite Pro,Ignite - Blurs,Ignite - 模糊,√,,,,{Svfx:com.FXHOME.HitFilm.LensBlur}
Ignite Lens Dirt,Ignite 镜头杂物,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.LensDirt}
Ignite Lens Distort,Ignite 镜头变形,,,Ignite Pro,Ignite Pro,Ignite - Warp,Ignite - 变形,√,,,,{Svfx:com.FXHOME.HitFilm.LensDistort}
Ignite Letterbox,Ignite 宽屏黑条,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.Letterbox}
Ignite Light Flares,Ignite 光斑,HitFilm Light Flares,HitFilm Light Flares,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,√,,{Svfx:com.FXHOME.HitFilm.LightFlares}
Ignite Light Leak,Ignite 漏光/光晕,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.LightLeak}
Ignite Light Rays,Ignite 光线,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.LightRays}
Ignite Light Streaks,Ignite 闪光/光纹,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.Glint}
Ignite Light Wrap,Ignite 灯光渗出,,,Ignite Pro,Ignite Pro,Ignite - Keying - Matte Enhancement,Ignite - 键控 - 蒙版增强,,,,√,{Svfx:com.FXHOME.HitFilm.LightWrap}
Ignite Lightning & Electricity,Ignite 闪电,,,Ignite Pro,Ignite Pro,Ignite - Particles & Simulation,Ignite - 粒子与仿真,√,,√,,{Svfx:com.FXHOME.HitFilm.Lightning}
Ignite Lightsword (2-Point Auto),Ignite 光剑 (2点 自动),,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.AutomatedLightsaber}
Ignite Lightsword (4-Point Manual),Ignite 光剑 (4点 手动),,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.ManualLightsaber}
Ignite Lightsword (Glow Only),Ignite 光剑 (仅发光),,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.LightsaberGlow}
Ignite Lightsword Ultra (2-Point Auto),Ignite 超级光剑 (2点 自动),,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.LightswordV2Auto}
Ignite Lightsword Ultra (4-Point Manual),Ignite 超级光剑 (4点 手动),,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.LightswordV2Manual}
Ignite Lightsword Ultra (Glow Only),Ignite 超级光剑 (仅发光),,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.LightswordV2Glow}
Ignite Luminance Key,Ignite 亮度键,,,Ignite Pro,Ignite Pro,Ignite - Keying,Ignite - 键控,√,,,,{Svfx:com.FXHOME.HitFilm.LuminanceKey}
Ignite LUT,Ignite LUT/Cube,,,Ignite Pro,Ignite Pro,Ignite - Color Grading,Ignite - 颜色分级,√,,,,{Svfx:com.FXHOME.HitFilm.LUT}
Ignite Magnify,Ignite 放大,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.Magnify}
Ignite Matte Cleaner,Ignite 蒙版清理器,,,Ignite Pro,Ignite Pro,Ignite - Keying - Matte Enhancement,Ignite - 键控 - 蒙版增强,√,,,,{Svfx:com.FXHOME.HitFilm.MatteCleaner}
Ignite Mosaic,Ignite 马赛克,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.Mosaic}
Ignite Motion Blur,Ignite 运动模糊,,,Ignite Pro,Ignite Pro,Ignite - Blurs,Ignite - 模糊,√,,,,{Svfx:com.FXHOME.HitFilm.MotionBlur}
